pattern	prompt	level	topics	count	collocations
"adjective + noun"	"occupational"	"C1"	"work"	"4"	"occupational hazard; occupational therapy; occupational health; occupational risk"
"adjective + noun"	"odd"	"B1"	"daily-life"	"4"	"odd number; odd socks; odd job; odd one"
"adjective + noun"	"optional"	"B2"	"shopping"	"4"	"optional extras; optional features; optional subjects; optional equipment"
"adjective + noun"	"painful"	"B2"	"feelings"	"4"	"painful memory; painful reminder; painful experience; painful lesson"
"adjective + noun"	"personal"	"B1"	"people"	"4"	"personal belongings; personal details; personal interest; personal space"
"adjective + noun"	"political"	"B2"	"politics"	"4"	"political prisoner; political party; political system; political leader"
"adjective + noun"	"poor"	"B2"	"health"	"4"	"poor eyesight; poor health; poor performance; poor quality"
"adjective + noun"	"popular"	"B1"	"daily-life"	"4"	"popular belief; popular culture; popular demand; popular opinion"
"adjective + noun"	"private"	"B1"	"people"	"4"	"private life; private property; private sector; private conversation"
"adjective + noun"	"public"	"B1"	"politics"	"4"	"public opinion; public transport; public service; public holiday"
"adjective + noun"	"quick"	"B1"	"daily-life"	"4"	"quick fix; quick reply; quick response; quick snack"
"adjective + noun"	"quiet"	"B1"	"daily-life"	"4"	"quiet life; quiet night; quiet neighborhood; quiet voice"
"adjective + noun"	"radical"	"C1"	"politics"	"4"	"radical reform; radical change; radical shift; radical idea"
"adjective + noun"	"rave"	"C1"	"daily-life"	"4"	"rave review; rave reception; rave notice; rave report"
"adjective + noun"	"real"	"B1"	"daily-life"	"4"	"real life; real wages; real world; real problem"
"adjective + noun"	"reasonable"	"B2"	"education"	"4"	"reasonable explanation; reasonable price; reasonable excuse; reasonable doubt"
"adjective + noun"	"regular"	"B1"	"health / work"	"4"	"regular exercise; regular interval; regular check-up; regular meeting"
"adjective + noun"	"rich"	"B2"	"people / education"	"4"	"rich history; rich culture; rich vocabulary; rich source"
"adjective + noun"	"rough"	"B2"	"work / travel"	"4"	"rough draft; rough estimate; rough idea; rough sea"
"adjective + noun"	"safe"	"B1"	"daily-life"	"4"	"safe distance; safe bet; safe hands; safe haven"
"adjective + noun"	"serious"	"B2"	"health"	"4"	"serious accident; serious illness; serious injury; serious relationship"
"adjective + noun"	"severe"	"C1"	"environment"	"4"	"severe weather; severe penalty; severe shortage; severe pressure"
"adjective + noun"	"speedy"	"B2"	"health / work"	"4"	"speedy recovery; speedy response; speedy trial; speedy exit"
"adjective + noun"	"steady"	"B2"	"work / people"	"4"	"steady job; steady relationship; steady progress; steady hand"
"adjective + noun"	"stiff"	"C1"	"work / daily-life"	"4"	"stiff competition; stiff breeze; stiff drink; stiff neck"
"adjective + noun"	"subject"	"C1"	"education"	"4"	"subject matter; subject change; subject debate; subject opinion"
"adjective + noun"	"substantial"	"C1"	"shopping / work"	"4"	"substantial amount; substantial increase; substantial portion; substantial change"
"adjective + noun"	"superficial"	"C1"	"health / people"	"4"	"superficial wound; superficial knowledge; superficial relationship; superficial link"
"adjective + noun"	"tight"	"B2"	"work / daily-life"	"4"	"tight schedule; tight grip; tight budget; tight corner"
"adjective + noun"	"total"	"B2"	"feelings / daily-life"	"4"	"total bliss; total failure; total disaster; total disbelief"
"adjective + noun"	"typical"	"B1"	"education / health"	"4"	"typical example; typical behavior; typical day; typical symptom"
"adjective + noun"	"ulterior"	"C1"	"people"	"3"	"ulterior motive; ulterior reason; ulterior purpose"
"adjective + noun"	"uncertain"	"B2"	"politics / daily-life"	"4"	"uncertain future; uncertain outcome; uncertain times; uncertain terms"
"adjective + noun"	"unfair"	"B2"	"work / politics"	"3"	"unfair dismissal; unfair advantage; unfair treatment"
"adjective + noun"	"urban"	"B2"	"environment"	"4"	"urban sprawl; urban area; urban planning; urban development"
"adjective + noun"	"utter"	"C1"	"feelings / daily-life"	"4"	"utter catastrophe; utter failure; utter chaos; utter loathing"
"adjective + noun"	"vague"	"B2"	"education / daily-life"	"4"	"vague idea; vague memory; vague description; vague recollection"
"adjective + noun"	"valid"	"B2"	"education / travel"	"4"	"valid point; valid reason; valid argument; valid passport"
"adjective + noun"	"valuable"	"B2"	"work / education"	"4"	"valuable contribution; valuable information; valuable lesson; valuable asset"
"adjective + noun"	"vital"	"B2"	"health / work"	"4"	"vital role; vital organs; vital information; vital statistic"
"adjective + noun"	"welcome"	"B2"	"daily-life"	"4"	"welcome change; welcome relief; welcome break; welcome addition"
"adjective + noun"	"wrong"	"B1"	"daily-life"	"4"	"wrong number; wrong way; wrong impression; wrong doing"
"adjective + noun"	"zero"	"B2"	"politics / environment"	"4"	"zero tolerance; zero visibility; zero growth; zero chance"
"noun + noun"	"account"	"B2"	"work"	"3"	"account executive; account firm; account system"
"noun + noun"	"air"	"B2"	"daily-life"	"4"	"air attack; air raid; air gun; air conditioning"
"noun + noun"	"auto"	"B2"	"work"	"3"	"auto maker; auto manufacturer; auto industry"
"noun + noun"	"bank"	"B2"	"work"	"5"	"bank draft; bank rate; bank account; bank statement; bank note"
"noun + noun"	"bargain"	"B2"	"shopping"	"3"	"bargain hunters; bargain price; bargain sale"
"noun + noun"	"beauty"	"B2"	"daily-life"	"4"	"beauty industry; beauty salon; beauty shop; beauty parlor"
"noun + noun"	"birth"	"B2"	"politics / health"	"3"	"birth certificate; birth rate; birth control"
"noun + noun"	"block"	"B2"	"daily-life"	"3"	"block of flats; block grant; block booking"
"noun + noun"	"board"	"B2"	"daily-life"	"3"	"board game; board meeting; board member"
"noun + noun"	"body"	"B2"	"people"	"3"	"body armor; body double; body language"
"noun + noun"	"call"	"B2"	"work"	"3"	"call center; call option; call card"
"noun + noun"	"capital"	"B2"	"politics"	"3"	"capital gain; capital city; capital punishment"
"noun + noun"	"car"	"B2"	"travel"	"3"	"car manufacturer; car park; car pool"
"noun + noun"	"case"	"B2"	"education / work"	"3"	"case law; case study; case work"
"noun + noun"	"cash"	"B2"	"work"	"3"	"cash cow; cash flow; cash desk"
"noun + noun"	"child"	"B2"	"people"	"3"	"child care; child benefit; childhood"
"noun + noun"	"comfort"	"B2"	"daily-life"	"3"	"comfort food; comfort zone; comfort level"
"noun + noun"	"computer"	"B1"	"technology"	"4"	"computer business; computer programmer; computer virus; computer keyboard"
"noun + noun"	"contact"	"B2"	"people"	"4"	"contact details; contact lens; contact sport; contact person"
"noun + noun"	"core"	"C1"	"education / work"	"3"	"core values; core competency; core subject"
"noun + noun"	"day"	"B2"	"daily-life"	"4"	"day shift; day trip; day break; day time"
"noun + noun"	"death"	"C1"	"politics"	"3"	"death tax; death wish; death penalty"
"noun + noun"	"departure"	"B2"	"travel"	"3"	"departure time; departure lounge; departure gate"
"noun + noun"	"desk"	"B2"	"work"	"3"	"desk job; desk officer; desk top"
"noun + noun"	"driving"	"B1"	"travel"	"3"	"driving licence; driving test; driving instructor"
"noun + noun"	"health"	"B2"	"health"	"5"	"health club; health care; health system; health insurance; health office"
"noun + noun"	"history"	"B2"	"education"	"5"	"history department; history teacher; history book; history lesson; history section"
"noun + noun"	"hit"	"B2"	"daily-life"	"4"	"hit list; hit man; hit song; hit rate"
"noun + noun"	"identity"	"B2"	"people"	"4"	"identity crisis; identity card; identity theft; identity fraud"
"noun + noun"	"insurance"	"B2"	"work"	"4"	"insurance broker; insurance policy; insurance claim; insurance premium"
"noun + noun"	"interest"	"B2"	"work"	"4"	"interest group; interest rate; interest payment; interest charges"
"noun + noun"	"jail"	"B2"	"politics"	"4"	"jail cell; jail sentence; jail bird; jail break"
"noun + noun"	"jury"	"B2"	"politics"	"5"	"jury system; jury duty; jury service; jury trial; jury box"
"noun + noun"	"kitchen"	"B1"	"daily-life"	"4"	"kitchen cabinet; kitchen table; kitchen sink; kitchen appliances"
"noun + noun"	"knowledge"	"C1"	"education / work"	"4"	"knowledge base; knowledge gap; knowledge economy; knowledge sharing"
"noun + noun"	"labour"	"B2"	"work / politics"	"4"	"labour camp; labour force; labour market; labour union"
"noun + noun"	"law"	"B2"	"politics"	"4"	"law officer; law firm; law case; law enforcement"
"noun + noun"	"lead"	"B2"	"daily-life"	"5"	"lead singer; lead time; lead role; lead guitar; lead position"
"noun + noun"	"market"	"B2"	"work / shopping"	"4"	"market economy; market gardening; market research; market share"
"noun + noun"	"money"	"B2"	"work"	"3"	"money order; money laundering; money management"
"noun + noun"	"music"	"B1"	"education / daily-life"	"4"	"music department; music school; music industry; music teacher"
"noun + noun"	"news"	"B2"	"daily-life"	"4"	"news organization; news show; news agency; news report"
"noun + noun"	"office"	"B2"	"work"	"4"	"office block; office hours; office job; office space"
"noun + noun"	"opinion"	"B2"	"politics"	"3"	"opinion poll; opinion piece; opinion leader"
"noun + noun"	"package"	"B2"	"travel / shopping"	"3"	"package holiday; package deal; package tour"
"noun + noun"	"parking"	"B1"	"travel"	"4"	"parking ticket; parking space; parking meter; parking permit"
"noun + noun"	"pay"	"B2"	"work"	"4"	"pay increase; pay rise; pay scale; pay cut"
"noun + noun"	"piece"	"B1"	"education"	"4"	"piece of advice; piece of equipment; piece of information; piece of music"
"noun + noun"	"post"	"B1"	"daily-life"	"4"	"post office; post card; post code; post box"
"noun + noun"	"price"	"B2"	"shopping / work"	"4"	"price competition; price tag; price war; price increase"
"noun + noun"	"production"	"B2"	"work"	"4"	"production cost; production line; production target; production manager"
"noun + noun"	"profit"	"B2"	"work"	"3"	"profit margin; profit share; profit forecast"
"noun + noun"	"quality"	"B2"	"daily-life / work"	"3"	"quality of life; quality assurance; quality control"
"noun + noun"	"rate"	"B2"	"work"	"3"	"rate of return; rate of exchange; rate of pay"
"noun + noun"	"rental"	"B2"	"work"	"3"	"rental income; rental agreement; rental property"
"noun + noun"	"return"	"B1"	"travel / daily-life"	"4"	"return address; return flight; return ticket; return journey"
"noun + noun"	"road"	"B1"	"travel"	"4"	"road safety; road rage; road map; road works"
"noun + noun"	"room"	"B1"	"daily-life"	"3"	"room for improvement; room temperature; room service"
"noun + noun"	"savings"	"B2"	"work"	"3"	"savings bond; savings account; savings bank"
"noun + noun"	"search"	"B1"	"technology / politics"	"3"	"search warrant; search engine; search party"
"noun + noun"	"security"	"B2"	"politics / work"	"4"	"security forces; security blanket; security guard; security system"
"noun + noun"	"service"	"B2"	"work"	"5"	"service charge; service industry; service station; service provider; service work"
"noun + noun"	"sore"	"B2"	"health / people"	"4"	"sore throat; sore point; sore loser; sore head"
"noun + noun"	"speed"	"B1"	"travel"	"3"	"speed limit; speed camera; speed trap"
"noun + noun"	"stock"	"B2"	"work"	"4"	"stock option; stock market; stock exchange; stock broker"
"noun + noun"	"tax"	"B2"	"politics / work"	"4"	"tax break; tax shelter; tax return; tax deduction"
"noun + noun"	"tea"	"B1"	"daily-life"	"4"	"tea leaf; tea bag; tea time; tea spoon"
"noun + noun"	"television"	"B1"	"daily-life"	"6"	"television reporter; television show; television series; television station; television news; television movie"
"noun + noun"	"term"	"B2"	"education"	"3"	"term paper; term time; term limit"
"noun + noun"	"trade"	"B2"	"work / politics"	"4"	"trade route; trade union; trade secret; trade gap"
"noun + noun"	"trial"	"B2"	"politics / work"	"4"	"trial court; trial lawyer; trial run; trial period"
"noun + noun"	"voting"	"B2"	"politics"	"4"	"voting booth; voting machine; voting right; voting age"
"noun + noun"	"war"	"B2"	"politics"	"4"	"war crime; war zone; war game; war hero"
"noun + noun"	"water"	"B1"	"daily-life / environment"	"4"	"water cannon; water heater; water level; water tank"
"noun + noun"	"word"	"C1"	"education"	"3"	"word blindness; word salad; word choice"
"noun + noun"	"work"	"B1"	"work"	"5"	"work force; work place; work load; work permit; work group"
